time,x_cg,z_cg,theta_deg,vx,vz,omega,thrust,vane_angle_deg,target_x,target_z,theta_target_deg,omega_target,ax_target,thrust_cmd,vane_angle_cmd_deg,thrust_force_x,thrust_force_z,vane_force_x,vane_force_z,drag_force_x,drag_force_z,total_force_x,total_force_z,vane_moment,damping_moment,total_moment,x_ddot,z_ddot,theta_ddot,desired_moment,rate_error,rate_p,rate_i,rate_d,rate_ff,mixer_unattainable_moment,motor_saturated,servo_angle_saturated,servo_rate_saturated,mixer_saturated
6.135,-0.04716178669425488,0.9999661021917005,0.27419852897299424,0.1634427740952312,0.0003597442055430667,-0.08003708282151174,14.714620893270869,0.053944823610826975,0.0,1.0,-0.8296364261789109,-0.13485888056203166,-0.14205762214935042,14.713315101378104,0.04238822945138854,0.07041900881131927,14.714452391981212,0.010390405875804037,-4.972540353048854e-05,-0.01634427740952312,-3.597442055430667e-05,0.06446513727760017,-0.0006333078428724648,-0.0025976312151614607,0.00320148331286047,0.0006038520976990092,0.04297675818506678,-0.0004222052285816432,0.0185800645445849,-0.0020411409400966853,-0.054821797740519915,-0.0019187629209181972,-0.0009493146396516725,0.0008269366204731843,-0.0,0.0,0,0,0,0
6.140000000000001,-0.046343498404824095,0.9999678903575975,0.25129620770397315,0.16365765788615652,0.00035763317940015846,-0.07994418249878882,14.71453928127757,0.05250024934089717,0.0,1.0,-0.8348392732637085,-0.13269648185932637,-0.14294862495091293,14.713284703707467,0.04092111586799319,0.06453697106064546,14.714397753208488,0.010112126375314381,-4.435152686442451e-05,-0.016365765788615653,-3.576331794001585e-05,0.058283331647344186,-0.0006823616363158953,-0.0025280559092940367,0.003197767299951553,0.0006697113906575162,0.03885555443156279,-0.0004549077575439302,0.020606504327923575,-0.0019704833802455667,-0.05275229936053755,-0.0018463304776188143,-0.0009519522546196994,0.0008277993519929472,-0.0,0.0,0,0,0,0
6.1450000000000005,-0.04552423872653252,0.9999696671508005,0.22842340307816475,0.16385193565831432,0.0003553586406124388,-0.0798411499771492,14.714460870179439,0.05105285765678417,0.0,1.0,-0.8399142873159752,-0.13052207154370787,-0.14381773824291977,14.713257770636426,0.0394527649901051,0.05866258128113433,14.714343933781054,0.009833306825759738,-3.9203049998317854e-05,-0.016385193565831433,-3.5535864061243885e-05,0.05211069454106264,-0.0007308051330064972,-0.0024583462430140695,0.0031936459990859678,0.0007352997560718983,0.034740463027375094,-0.00048720342200433145,0.02262460787913533,-0.0018997674379360337,-0.05068092156655868,-0.0017738322548295539,-0.0009544863006980273,0.0008285511175915472,-0.0,0.0,0,0,0,0
6.15,-0.044704110536665266,0.999971431763918,0.2055830058159717,0.1640256379734512,0.00035292262350241716,-0.07972802693775352,14.714385676458,0.04960284607344929,0.0,1.0,-0.8448611849700296,-0.12833596816364112,-0.14466491334146414,14.713234290784953,0.03798337274375576,0.05279657892568292,14.714290956645044,0.009553985244704105,-3.428080479807509e-05,-0.016402563797345122,-3.529226235024172e-05,0.045948000373041906,-0.000778616422103442,-0.0023885116865634305,0.0031891210775101407,0.0008006093909467102,0.030632000248694603,-0.000519077614735628,0.02463413510605262,-0.001829002504396957,-0.0486079412258876,-0.0017012779429060663,-0.0009569166977593217,0.0008291921362684308,-0.0,0.0,0,0,0,0
6.155,-0.043883216546791795,0.9999731834000951,0.18277789435311692,0.16417879797469467,0.000350327235428739,-0.07960485626222326,14.714313714853436,0.0481504119072376,0.0,1.0,-0.8496797002044932,-0.12613849088575657,-0.1454901045347307,14.713214251062611,0.03651313464592083,0.04693970025259265,14.714238844183008,0.009274199608635006,-2.9585502472942247e-05,-0.01641787979746947,-3.50327235428739e-05,0.03979602006375819,-0.0008257740430076456,-0.002318561699669138,0.0031841942504889304,0.0008656325508197924,0.02653068004250546,-0.0005505160286717637,0.026634847717532075,-0.0017581979503724487,-0.04653363462353331,-0.001628677211823666,-0.0009592433794904984,0.0008297226409417158,-0.0,2.168404344971009e-19,0,0,0,0
6.16,-0.04306165928991726,0.9999749212733715,0.16001093449931683,0.1643114513749072,0.0003475746552853802,-0.0794716820236356,14.714244998366508,0.046695752249573,0.0,1.0,-0.8543695843264095,-0.12392995945118024,-0.14629326908046414,14.71319763668474,0.035042245778474604,0.041092678241994064,14.714187618205386,0.00899398784796056,-2.511773387280789e-05,-0.01643114513749072,-3.475746552853802e-05,0.0336555209524639,-0.0008722569940153116,-0.0022485057303381663,0.0031788672809454238,0.0009303615506072575,0.02243701396830927,-0.0005815046626768745,0.028626509249454077,-0.0016873631249304708,-0.04445827742754464,-0.0015560397099640627,-0.0009614662933618756,0.0008301428783954679,-0.0,0.0,0,0,0,0
6.165,-0.04223954110769351,0.9999766446090314,0.1372849790995714,0.16442363644474875,0.0003446671319719958,-0.07932854947738832,14.714179538261398,0.0452390639406857,0.0,1.0,-0.8589306059532353,-0.12171069413197255,-0.14707436720306882,14.713184431189411,0.03357090076316571,0.03525624251294758,14.714137299942335,0.008713387842015457,-2.0877969846636533e-05,-0.016442363644474874,-3.446671319719958e-05,0.027527266710488166,-0.0009180447407092437,-0.002178353213654292,0.003173141979095533,0.0009947887654412411,0.018351511140325443,-0.0006120298271394958,0.030608885090499725,-0.0016165073543208883,-0.04238214465458423,-0.0014833750629104482,-0.0009635854005946048,0.000830453109184165,-0.0,0.0,0,0,0,0
6.17,-0.04141696413769126,0.9999783526439455,0.11460286769810815,0.16451539400045037,0.0003416069828362983,-0.07917550505193582,14.714117344069399,0.043780543543495705,0.0,1.0,-0.8633625509927225,-0.11948101568759828,-0.1478333620903424,14.713174616455165,0.03209929373601484,0.029431119241224917,14.71408791003588,0.008432437414099521,-1.6866561661580022e-05,-0.016451539400045036,-3.416069828362983e-05,0.021412017255279404,-0.000963117224064918,-0.0021081135705828284,0.003167020202077433,0.0010589066314946045,0.014274678170186269,-0.000642078149376612,0.03258174250752629,-0.001545639940805864,-0.040305510635662456,-0.001410692872248186,-0.0009656006761263879,0.0008306536075687099,-0.0,0.0,0,0,0,0
6.175,-0.04059403030073475,0.9999800446269059,0.09196742620501648,0.1645867673913013,0.00033839659208941523,-0.0790125963393982,14.714058423593508,0.0423203873175606,0.0,1.0,-0.8676652226206935,-0.11724124532150215,-0.14857021988984365,14.713168172719508,0.030627618322446867,0.023618031077775676,14.714039468532464,0.00815117432653114,-1.3083741482146544e-05,-0.01645867673913013,-3.383965920894152e-05,0.015310528665176688,-0.0010074548682270053,-0.002037796206778777,0.0031605038535759277,0.0011227076467971507,0.010207019110117793,-0.0006716365788180036,0.03454485067068156,-0.0014747701615257325,-0.03822864898210396,-0.0013380027143736386,-0.0009675121085754931,0.0008307446614233994,-0.0,-2.168404344971009e-19,0,0,0,0
6.18,-0.039770841288300496,0.9999817198189519,0.0693814665656083,0.1646378024868519,0.0003350384091953252,-0.07883987208604479,14.714002782913884,0.04085879119317138,0.0,1.0,-0.8718384412567218,-0.11499170463772179,-0.1492849097048967,14.71316507859817,0.029156067611926448,0.01781769706788374,14.713991994875787,0.007869636275731541,-9.529622908877838e-06,-0.01646378024868519,-3.350384091953252e-05,0.00922355309493009,-0.0010510385880417167,-0.0019674105114023386,0.0031535948834417915,0.001186184372039453,0.00614903539662006,-0.0007006923920278111,0.03649798067813701,-0.0014039072673409912,-0.036151832551677004,-0.0012653141393086952,-0.000969319700203077,0.0008307265721707813,-0.0,-2.168404344971009e-19,0,0,0,0
6.1850000000000005,-0.03894749854998132,0.999983377493688,0.04684778643254031,0.16466854766383499,0.00033153494723518615,-0.0786573821826541,14.713950426394153,0.039395950745515766,0.0,1.0,-0.8758820445377316,-0.11273271559761255,-0.14997740359023343,14.713165311105048,0.027684834133334987,0.01203083257101777,14.713945507900059,0.007587860887324317,-6.204201575883207e-06,-0.016466854766383498,-3.3153494723518614e-05,0.003151838691958588,-0.0010938497962402467,-0.0018969658559378343,0.003146295287306164,0.0012493294313683297,0.002101225794639059,-0.0007292331974934978,0.03844090558056399,-0.0013330604817099517,-0.034075333414958456,-0.0011926366695235462,-0.000971023466873825,0.0008305996546874195,-0.0,0.0,0,0,0,0
6.19,-0.03812410328101728,0.9999850169375942,0.024369168840732994,0.16467905379280817,0.0003278887812477187,-0.07846517765475128,14.713901356688584,0.03793206116899316,0.0,1.0,-0.8797958872895222,-0.11046460047666562,-0.15064767654727518,14.713168845672923,0.026214109830306132,0.006258149181380311,14.713900025823575,0.007305885711266299,-3.107355806616619e-06,-0.016467905379280817,-3.278887812477187e-05,-0.0029038704866342063,-0.0011358704103569249,-0.0018264715930200158,0.0031386071061900514,0.0013121355131700356,-0.0019359136577561376,-0.0007572469402379499,0.040373400405231866,-0.001262238999564277,-0.03199942282191434,-0.001119979798767002,-0.0009726234380149207,0.0008303642372176457,-0.0,0.0,0,0,0,0
6.195,-0.03730075640989468,0.999986637450327,0.0019483818851209695,0.16466937422451938,0.00032410254654652895,-0.07826331065272511,14.713855574750106,0.036467317251657284,0.0,1.0,-0.8835798414962286,-0.10818768182138205,-0.15129570651905558,14.713175656174835,0.02474408603633404,0.0005003546491597735,14.713855566242657,0.00702374821700504,-2.3884732720694856e-07,-0.01646693742245194,-3.24102546546529e-05,-0.008942834556287126,-0.001177082859325313,-0.0017559370552665307,0.0031305324261090045,0.0013745953708424739,-0.005961889704191418,-0.0007847219062168754,0.042295242179768426,-0.0011914519861733863,-0.02992437116865694,-0.001047352990902993,-0.0009741196565733536,0.0008300206613029604,-0.0,0.0,0,0,0,0
