time,x,z,theta_deg,vx,vz,omega,cg_x,cg_z,target_x,target_z,ax_cmd,throttle,thrust,theta_control_term,omega_control_term,position_control_term,velocity_control_term,theta_ddot,ax_saturated
8.84,3.949374690478801e-06,1.0,9.893724262222882e-05,-1.0601026020116833e-05,0.0,-1.3976692559899066e-06,4.3810698496291766e-06,1.2499999999996272,0.0,1.0,1.7457182865523687e-05,0.39999999999999997,14.715,4.8349857824866114e-05,-6.988346279949533e-06,7.898749380957602e-06,-3.1803078060350495e-05,-1.580675042151187e-06,0
8.85,3.845110148564185e-06,1.0,9.8127380526125e-05,-1.0426454191461596e-05,0.0,-1.4134760064114184e-06,4.273271617698537e-06,1.2499999999996334,0.0,1.0,1.72975622337574e-05,0.39999999999999997,14.715,4.795408454307092e-05,-7.067380032057092e-06,7.69022029712837e-06,-3.127936257438479e-05,-1.4913081373561742e-06,0
8.86,3.7425753628729447e-06,1.0,9.73089738637988e-05,-1.0253478569124022e-05,0.0,-1.4283890877849802e-06,4.16716585928784e-06,1.2499999999996394,0.0,1.0,1.713690517794005e-05,0.39999999999999997,14.715,4.755413559849112e-05,-7.141945438924901e-06,7.485150725745889e-06,-3.076043570737206e-05,-1.4039602136546472e-06,0
8.870000000000001,3.6417542676994983e-06,1.0,9.648252310198792e-05,-1.0082109517344621e-05,0.0,-1.4424286899215267e-06,4.062738692389595e-06,1.2499999999996456,0.0,1.0,1.6975292099070594e-05,0.39999999999999997,14.715,4.7150255565313094e-05,-7.212143449607634e-06,7.2835085353989965e-06,-3.0246328552033864e-05,-1.3186030553560085e-06,0
8.88,3.542630701735959e-06,1.0,9.564851730118454e-05,-9.912356596353916e-06,0.0,-1.4556147204750867e-06,3.959976089624873e-06,1.2499999999996516,0.0,1.0,1.6812801455614806e-05,0.39999999999999997,14.715,4.674268344358007e-05,-7.278073602375433e-06,7.085261403471918e-06,-2.9737069789061747e-05,-1.2352085871552975e-06,0
8.89,3.4451884159179813e-06,1.0,9.480743427649493e-05,-9.744228581797767e-06,0.0,-1.4679668063466396e-06,3.858863886791034e-06,1.2499999999996578,0.0,1.0,1.664950979251247e-05,0.39999999999999997,14.715,4.633165273780301e-05,-7.339834031733198e-06,6.890376831835963e-06,-2.92326857453933e-05,-1.15374887950308e-06,0
8.9,3.349411081079255e-06,1.0,9.395974075766399e-05,-9.577733483872642e-06,0.0,-1.4795042951416705e-06,3.7593877912144584e-06,1.2499999999996638,0.0,1.0,1.6485491769995574e-05,0.39999999999999997,14.715,4.591739153516334e-05,-7.3975214757083525e-06,6.69882216215851e-06,-2.8733200451617925e-05,-1.0741961537725374e-06,0
8.91,3.255282295417528e-06,1.0,9.3105892548235e-05,-9.412878566172686e-06,0.0,-1.4902462566793958e-06,3.661533389911038e-06,1.24999999999967,0.0,1.0,1.6320820192213137e-05,0.39999999999999997,14.715,4.5500122583293113e-05,-7.451231283396979e-06,6.510564590835056e-06,-2.823863569851806e-05,-9.965227872272762e-07,0
8.92,3.162785591775023e-06,1.0,9.224633468381634e-05,-9.249670364250554e-06,0.0,-1.5002114845516685e-06,3.5652861575571584e-06,1.249999999999676,0.0,1.0,1.615556603565869e-05,0.39999999999999997,14.715,4.508006336761865e-05,-7.501057422758343e-06,6.325571183550046e-06,-2.7749011092751664e-05,-9.207013177939394e-07,0
8.93,3.0719044447360833e-06,1.0,9.138150158942749e-05,-9.088114703893968e-06,0.0,-1.509418497729608e-06,3.4706314642738996e-06,1.249999999999682,0.0,1.0,1.5989798477396577e-05,0.39999999999999997,14.715,4.4657426188254355e-05,-7.5470924886480395e-06,6.1438088894721666e-06,-2.7264344111681903e-05,-8.467044486439514e-07,0
8.94,2.9826222775448834e-06,1.0,9.051181723589843e-05,-8.928216719120002e-06,0.0,-1.5178855422160474e-06,3.3775545832271642e-06,1.249999999999688,0.0,1.0,1.582358492308339e-05,0.39999999999999997,14.715,4.423241823643386e-05,-7.589427711080237e-06,5.965244555089767e-06,-2.6784650157360007e-05,-7.745050525881387e-07,0
8.950000000000001,2.8949224688459917e-06,1.0,8.963769529529689e-05,-8.769980869889168e-06,0.0,-1.5256305927419287e-06,3.2860406980464225e-06,1.249999999999694,0.0,1.0,1.5656991034780953e-05,0.39999999999999997,14.715,4.380524167046612e-05,-7.628152963709643e-06,5.7898449376919834e-06,-2.6309942609667507e-05,-7.04076176287878e-07,0
8.96,2.808788359250578e-06,1.0,8.875953929535964e-05,-8.613410959541359e-06,0.0,-1.5326713545048075e-06,3.1960749100647515e-06,1.2499999999997,0.0,1.0,1.5490080758557823e-05,0.39999999999999997,14.715,4.337609369120478e-05,-7.663356772524038e-06,5.617576718501156e-06,-2.5840232878624076e-05,-6.35391044287587e-07,0
8.97,2.7242032577310203e-06,1.0,8.78777427729046e-05,-8.45851015195578e-06,0.0,-1.5390252649476833e-06,3.107642245382829e-06,1.249999999999706,0.0,1.0,1.5322916351875707e-05,0.39999999999999997,14.715,4.2945166617019426e-05,-7.695126324738417e-06,5.448406515462041e-06,-2.5375530455867342e-05,-5.684230628711365e-07,0
8.98,2.6411504478466502e-06,1.0,8.69926894262015e-05,-8.305280988437024e-06,0.0,-1.5447094955763947e-06,3.0207276617595226e-06,1.2499999999997118,0.0,1.0,1.5155558410758293e-05,0.39999999999999997,14.715,4.251264795825804e-05,-7.723547477881974e-06,5.2823008956933005e-06,-2.4915842965311074e-05,-5.031458237471131e-07,0
8.99,2.559613193803356e-06,1.0,8.610475326628037e-05,-8.15372540432944e-06,0.0,-1.5497409538138659e-06,2.935316055331698e-06,1.2499999999997178,0.0,1.0,1.4988065896739216e-05,0.39999999999999997,14.715,4.207872049119016e-05,-7.74870476906933e-06,5.119226387606712e-06,-2.446117621298832e-05,-4.3953310756572495e-07,0
9.0,2.4795747463497357e-06,1.0,8.521429876715727e-05,-8.003844745362048e-06,0.0,-1.554136284889523e-06,2.8513922671658583e-06,1.2499999999997236,0.0,1.0,1.4820496163586813e-05,0.39999999999999997,14.715,4.1643562331421093e-05,-7.770681424447615e-06,4.959149492699471e-06,-2.4011534236086143e-05,-3.775588872717296e-07,0
9.01,2.401018348512474e-06,1.0,8.432168101495831e-05,-7.855639783726179e-06,0.0,-1.5579118737622404e-06,2.7689410896441954e-06,1.2499999999997293,0.0,1.0,1.4652904983802877e-05,0.39999999999999997,14.715,4.120734700676767e-05,-7.789559368811202e-06,4.802036697024948e-06,-2.3566919351178537e-05,-3.171973312962726e-07,0
9.02,2.3239272411735925e-06,1.0,8.342724585592377e-05,-7.70911073388815e-06,0.0,-1.5610838470752031e-06,2.68794727268763e-06,1.2499999999997349,0.0,1.0,1.4485346574893327e-05,0.39999999999999997,14.715,4.077024352958661e-05,-7.805419235376016e-06,4.647854482347185e-06,-2.3127332201664452e-05,-2.584228065922378e-07,0
9.03,2.2482846684922003e-06,1.0,8.253133004327446e-05,-7.564257268139218e-06,0.0,-1.5636680751411255e-06,2.6083955298183893e-06,1.2499999999997407,0.0,1.0,1.4317873625408223e-05,0.39999999999999997,14.715,4.03324164685471e-05,-7.818340375705628e-06,4.4965693369844005e-06,-2.2692771804417654e-05,-2.0120988151547792e-07,0
9.040000000000001,2.174073883173349e-06,1.0,8.163426138292442e-05,-7.421078531885135e-06,0.0,-1.5656801739562804e-06,2.530270544064651e-06,1.2499999999997462,0.0,1.0,1.4150537320749226e-05,0.39999999999999997,14.715,3.9894026019839333e-05,-7.828400869781402e-06,4.348147766346698e-06,-2.2263235595655405e-05,-1.4553332855597232e-07,0
9.05,2.1012781515865726e-06,1.0,8.07363588780239e-05,-7.279573158677643e-06,0.0,-1.5671355072418401e-06,2.453556973709774e-06,1.2499999999997518,0.0,1.0,1.3983387368742634e-05,0.39999999999999997,14.715,3.945522807781162e-05,-7.8356775362092e-06,4.202556303173145e-06,-2.183871947603293e-05,-9.136812692265868e-08,0
9.06,2.0298807587366706e-06,1.0,7.983793287231793e-05,-7.139739284990217e-06,0.0,-1.5680491885110666e-06,2.3782394578885984e-06,1.2499999999997573,0.0,1.0,1.3816472024975877e-05,0.39999999999999997,14.715,3.901617430502852e-05,-7.840245942555333e-06,4.059761517473341e-06,-2.1419217854970652e-05,-3.868946498441867e-08,0
9.07,1.959865013089266e-06,1.0,7.893928519230644e-05,-7.001574564740459e-06,0.0,-1.5684360831609109e-06,2.3043026220332953e-06,1.2499999999997626,0.0,1.0,1.3649838117896073e-05,0.39999999999999997,14.715,3.857701220174347e-05,-7.842180415804555e-06,3.919730026178532e-06,-2.1004723694221375e-05,1.2527257428669262e-08,0
9.08,1.891214251253651e-06,1.0,7.80407092881929e-05,-6.865076183561498e-06,0.0,-1.5683108105866242e-06,2.231731083171217e-06,1.2499999999997682,0.0,1.0,1.34835310736689e-05,0.39999999999999997,14.715,3.8137885174779216e-05,-7.84155405293312e-06,3.782428502507302e-06,-2.0595228550684497e-05,6.230642686094751e-08,0
9.09,1.8239118425254029e-06,1.0,7.714249037360892e-05,-6.73024087282481e-06,0.0,-1.5676877463180148e-06,2.160509455077178e-06,1.2499999999997735,0.0,1.0,1.3317594940796475e-05,0.39999999999999997,14.715,3.7698932605810175e-05,-7.838438731590075e-06,3.6478236850508058e-06,-2.019072261847443e-05,1.1067221420026872e-07,0
